,n_bodies,time
444,89.0,221.99999999994307
445,89.0,222.49999999994262
446,89.0,222.99999999994216
447,89.0,223.4999999999417
448,89.0,223.99999999994125
449,89.0,224.4999999999408
450,89.0,224.99999999994034
451,89.0,225.4999999999399
452,89.0,225.99999999993943
453,89.0,226.49999999993898
454,89.0,226.99999999993852
455,89.0,227.49999999993807
456,89.0,227.99999999993761
457,89.0,228.49999999993716
458,89.0,228.9999999999367
459,89.0,229.49999999993625
460,89.0,229.9999999999358
461,89.0,230.49999999993534
462,89.0,230.9999999999349
463,89.0,231.49999999993443
464,88.0,231.99999999993398
465,88.0,232.49999999993352
466,88.0,232.99999999993307
467,88.0,233.4999999999326
468,88.0,233.99999999993216
469,88.0,234.4999999999317
470,88.0,234.99999999993125
471,88.0,235.4999999999308
472,88.0,235.99999999993034
473,88.0,236.49999999992988
474,88.0,236.99999999992943
475,88.0,237.49999999992897
476,88.0,237.99999999992852
477,88.0,238.49999999992806
478,88.0,238.9999999999276
479,88.0,239.49999999992716
480,88.0,239.9999999999267
481,88.0,240.49999999992625
482,88.0,240.9999999999258
483,88.0,241.49999999992534
484,88.0,241.99999999992488
485,88.0,242.49999999992443
486,88.0,242.99999999992397
487,88.0,243.49999999992352
488,88.0,243.99999999992306
489,88.0,244.4999999999226
490,88.0,244.99999999992215
491,88.0,245.4999999999217
492,88.0,245.99999999992124
493,88.0,246.4999999999208
494,88.0,246.99999999992033
495,88.0,247.49999999991988
496,88.0,247.99999999991942
497,88.0,248.49999999991897
498,88.0,248.99999999991851
499,88.0,249.49999999991806
500,88.0,249.9999999999176
501,88.0,250.49999999991715
502,88.0,250.9999999999167
503,88.0,251.49999999991624
504,88.0,251.9999999999158
505,88.0,252.49999999991533
506,88.0,252.99999999991488
507,88.0,253.49999999991442
508,88.0,253.99999999991397
509,88.0,254.4999999999135
510,88.0,254.99999999991306
511,88.0,255.4999999999126
512,88.0,255.99999999991215
513,88.0,256.4999999999117
514,88.0,256.99999999991127
515,88.0,257.4999999999108
516,88.0,257.99999999991036
517,88.0,258.4999999999099
518,88.0,258.99999999990945
519,88.0,259.499999999909
520,88.0,259.99999999990854
521,88.0,260.4999999999081
522,88.0,260.99999999990763
523,88.0,261.4999999999072
524,88.0,261.9999999999067
525,88.0,262.49999999990627
526,88.0,262.9999999999058
527,88.0,263.49999999990536
528,88.0,263.9999999999049
529,88.0,264.49999999990445
530,88.0,264.999999999904
531,88.0,265.49999999990354
532,88.0,265.9999999999031
533,88.0,266.4999999999026
534,88.0,266.9999999999022
535,88.0,267.4999999999017
536,87.0,267.99999999990126
537,87.0,268.4999999999008
538,87.0,268.99999999990035
539,87.0,269.4999999998999
540,87.0,269.99999999989944
541,87.0,270.499999999899
542,87.0,270.99999999989853
543,87.0,271.4999999998981
544,87.0,271.9999999998976
545,87.0,272.49999999989717
546,87.0,272.9999999998967
547,87.0,273.49999999989626
548,87.0,273.9999999998958
